"","value","Year","IZCode","IZName","CPP","Indicator","Type"
"2838",5.73,"2013/14-2015/16","S02001577","Currie West","Edinburgh, City of","Attainment","Raw"
"2839",5.97,"2013/14-2015/16","S02001576","Balerno and Bonnington Village","Edinburgh, City of","Attainment","Raw"
"2840",5.97,"2013/14-2015/16","S02001579","Baberton and Juniper Green","Edinburgh, City of","Attainment","Raw"
"2841",6.12,"2013/14-2015/16","S02001578","Currie East","Edinburgh, City of","Attainment","Raw"
"2842",6.07,"2013/14-2015/16","S02001557","Cross Stobbs","East Renfrewshire","Attainment","Raw"
"2843",5.86,"2013/14-2015/16","S02001556","Neilston and Uplawmoor","East Renfrewshire","Attainment","Raw"
"2844",5.89,"2013/14-2015/16","S02001559","Arthurlie and Gateside","East Renfrewshire","Attainment","Raw"
"2845",5.47,"2013/14-2015/16","S02001558","Dunterlie, East Arthurlie and Dovecothall","East Renfrewshire","Attainment","Raw"
"2846",6,"2013/14-2015/16","S02001553","East Linton and Rural","East Lothian","Attainment","Raw"
"2847",6.02,"2013/14-2015/16","S02001552","North Berwick South","East Lothian","Attainment","Raw"
"2848",5.76,"2013/14-2015/16","S02001555","Dunbar East","East Lothian","Attainment","Raw"
"2849",5.41,"2013/14-2015/16","S02001554","Dunbar West","East Lothian","Attainment","Raw"
"2850",6.13,"2013/14-2015/16","S02001565","Eaglesham and Waterfoot","East Renfrewshire","Attainment","Raw"
"2851",6.23,"2013/14-2015/16","S02001564","Mearnskirk and South Kirkhill","East Renfrewshire","Attainment","Raw"
"2852",5.98,"2013/14-2015/16","S02001567","Busby","East Renfrewshire","Attainment","Raw"
"2853",6.24,"2013/14-2015/16","S02001566","North Kirkhill","East Renfrewshire","Attainment","Raw"
"2854",6.26,"2013/14-2015/16","S02001561","Crookfur and Fruin","East Renfrewshire","Attainment","Raw"
"2855",5.32,"2013/14-2015/16","S02001560","Auchenback","East Renfrewshire","Attainment","Raw"
"2856",6.25,"2013/14-2015/16","S02001563","Whitecraigs and Broom","East Renfrewshire","Attainment","Raw"
"2857",6.15,"2013/14-2015/16","S02001562","Mearns Village, Westacres and Greenfarm","East Renfrewshire","Attainment","Raw"
"2858",4.99,"2013/14-2015/16","S02001605","Moredun and Craigour","Edinburgh, City of","Attainment","Raw"
"2859",5.2,"2013/14-2015/16","S02001604","Fernieside and Moredun South","Edinburgh, City of","Attainment","Raw"
"2860",5.77,"2013/14-2015/16","S02001607","Liberton West and Braid Hills","Edinburgh, City of","Attainment","Raw"
"2861",6.15,"2013/14-2015/16","S02001606","Liberton East","Edinburgh, City of","Attainment","Raw"
"2862",5.4,"2013/14-2015/16","S02001601","Mortonhall and Anwickhill","Edinburgh, City of","Attainment","Raw"
"2863",5.38,"2013/14-2015/16","S02001600","Gilmerton South and the Murrays","Edinburgh, City of","Attainment","Raw"
"2864",5.09,"2013/14-2015/16","S02001603","Hyvots and Gilmerton","Edinburgh, City of","Attainment","Raw"
"2865",4.86,"2013/14-2015/16","S02001602","Gracemount, Southhouse and Burdiehouse","Edinburgh, City of","Attainment","Raw"
"2866",6.3,"2013/14-2015/16","S02001613","Marchmont East and Sciennes","Edinburgh, City of","Attainment","Raw"
"2867",6.37,"2013/14-2015/16","S02001612","The Grange","Edinburgh, City of","Attainment","Raw"
"2868",6.06,"2013/14-2015/16","S02001615","Morningside","Edinburgh, City of","Attainment","Raw"
"2869",6.64,"2013/14-2015/16","S02001614","Marchmont West","Edinburgh, City of","Attainment","Raw"
"2870",6.21,"2013/14-2015/16","S02001609","Blackford, West Mains and Mayfield Road","Edinburgh, City of","Attainment","Raw"
"2871",5.11,"2013/14-2015/16","S02001608","The Inch","Edinburgh, City of","Attainment","Raw"
"2872",5.75,"2013/14-2015/16","S02001611","Newington and Dalkeith Road","Edinburgh, City of","Attainment","Raw"
"2873",5.7,"2013/14-2015/16","S02001610","Prestonfield","Edinburgh, City of","Attainment","Raw"
"2874",5.48,"2013/14-2015/16","S02001589","Slateford and Chesser","Edinburgh, City of","Attainment","Raw"
"2875",5.25,"2013/14-2015/16","S02001588","Longstone and Saughton","Edinburgh, City of","Attainment","Raw"
"2876",5.52,"2013/14-2015/16","S02001591","Gorgie East","Edinburgh, City of","Attainment","Raw"
"2877",5.18,"2013/14-2015/16","S02001590","Gorgie West","Edinburgh, City of","Attainment","Raw"
"2878",5.05,"2013/14-2015/16","S02001585","Parkhead and Sighthill","Edinburgh, City of","Attainment","Raw"
"2879",4.74,"2013/14-2015/16","S02001584","Murrayburn and Wester Hailes North","Edinburgh, City of","Attainment","Raw"
"2880",4.71,"2013/14-2015/16","S02001587","Stenhouse and Saughton Mains","Edinburgh, City of","Attainment","Raw"
"2881",4.85,"2013/14-2015/16","S02001586","Broomhouse and Bankhead","Edinburgh, City of","Attainment","Raw"
"2882",5.43,"2013/14-2015/16","S02001597","Oxgangs","Edinburgh, City of","Attainment","Raw"
"2883",5.36,"2013/14-2015/16","S02001596","Colinton Mains and Firrhill","Edinburgh, City of","Attainment","Raw"
"2884",6.13,"2013/14-2015/16","S02001599","Fairmilehead","Edinburgh, City of","Attainment","Raw"
"2885",6.07,"2013/14-2015/16","S02001598","Comiston and Swanston","Edinburgh, City of","Attainment","Raw"
"2886",6.11,"2013/14-2015/16","S02001593","Craiglockhart","Edinburgh, City of","Attainment","Raw"
"2887",6.24,"2013/14-2015/16","S02001592","Shandon","Edinburgh, City of","Attainment","Raw"
"2888",6.34,"2013/14-2015/16","S02001595","Greenbank and The Braids","Edinburgh, City of","Attainment","Raw"
"2889",6.38,"2013/14-2015/16","S02001594","Morningside and Craighouse","Edinburgh, City of","Attainment","Raw"
"2890",6.51,"2013/14-2015/16","S02001510","Kilmardinny East","East Dunbartonshire","Attainment","Raw"
"2891",6.17,"2013/14-2015/16","S02001509","Keystone and Dougalston","East Dunbartonshire","Attainment","Raw"
"2892",6.17,"2013/14-2015/16","S02001512","North Castlehill and Thorn","East Dunbartonshire","Attainment","Raw"
"2893",6.4,"2013/14-2015/16","S02001511","Kilmardinny West","East Dunbartonshire","Attainment","Raw"
"2894",6.23,"2013/14-2015/16","S02001506","West Clober and Mains Estate","East Dunbartonshire","Attainment","Raw"
"2895",5.53,"2013/14-2015/16","S02001505","Kilmaurs","East Ayrshire","Attainment","Raw"
"2896",6.34,"2013/14-2015/16","S02001508","Barloch","East Dunbartonshire","Attainment","Raw"
"2897",5.83,"2013/14-2015/16","S02001507","East Clober and Mains Estate","East Dunbartonshire","Attainment","Raw"
"2898",6.08,"2013/14-2015/16","S02001518","Torrance and Balmore","East Dunbartonshire","Attainment","Raw"
"2899",6.22,"2013/14-2015/16","S02001517","Kessington East","East Dunbartonshire","Attainment","Raw"
"2900",6.07,"2013/14-2015/16","S02001520","Bishopbriggs West and Cadder","East Dunbartonshire","Attainment","Raw"
"2901",6.33,"2013/14-2015/16","S02001519","Bishopbriggs North and Kenmure","East Dunbartonshire","Attainment","Raw"
"2902",5.95,"2013/14-2015/16","S02001514","Westerton West","East Dunbartonshire","Attainment","Raw"
"2903",6.07,"2013/14-2015/16","S02001513","South Castlehill and Thorn","East Dunbartonshire","Attainment","Raw"
"2904",6.07,"2013/14-2015/16","S02001516","Kessington West","East Dunbartonshire","Attainment","Raw"
"2905",6.2,"2013/14-2015/16","S02001515","Westerton East","East Dunbartonshire","Attainment","Raw"
"2906",5.18,"2013/14-2015/16","S02001494","Bellfield and Kirkstyle","East Ayrshire","Attainment","Raw"
"2907",4.65,"2013/14-2015/16","S02001493","Shortlees","East Ayrshire","Attainment","Raw"
"2908",5.7,"2013/14-2015/16","S02001496","Piersland","East Ayrshire","Attainment","Raw"
"2909",5.85,"2013/14-2015/16","S02001495","Kilmarnock South Central and Caprington","East Ayrshire","Attainment","Raw"
"2910",5.08,"2013/14-2015/16","S02001490","Newmilns","East Ayrshire","Attainment","Raw"
"2911",5.56,"2013/14-2015/16","S02001489","Darvel","East Ayrshire","Attainment","Raw"
"2912",5.25,"2013/14-2015/16","S02001492","Earlston and Hurlford Rural","East Ayrshire","Attainment","Raw"
"2913",5.35,"2013/14-2015/16","S02001491","Galston","East Ayrshire","Attainment","Raw"
"2914",5.55,"2013/14-2015/16","S02001502","Bonnyton and Town Centre","East Ayrshire","Attainment","Raw"
"2915",4.7,"2013/14-2015/16","S02001501","Altonhill South, Longpark and Hillhead","East Ayrshire","Attainment","Raw"
"2916",5.13,"2013/14-2015/16","S02001504","Crosshouse, Gatehead and Kilmaurs Rural","East Ayrshire","Attainment","Raw"
"2917",5.99,"2013/14-2015/16","S02001503","Grange, Howard and Gargieston","East Ayrshire","Attainment","Raw"
"2918",5.54,"2013/14-2015/16","S02001498","Dean and New Farm Loch North","East Ayrshire","Attainment","Raw"
"2919",5.41,"2013/14-2015/16","S02001497","New Farm Loch South","East Ayrshire","Attainment","Raw"
"2920",5.05,"2013/14-2015/16","S02001500","Altonhill North and Onthank","East Ayrshire","Attainment","Raw"
"2921",5.84,"2013/14-2015/16","S02001499","Southcraig and Beansburn","East Ayrshire","Attainment","Raw"
"2922",5.2,"2013/14-2015/16","S02001541","Prestonpans East","East Lothian","Attainment","Raw"
"2923",5.09,"2013/14-2015/16","S02001540","Prestonpans West","East Lothian","Attainment","Raw"
"2924",5.24,"2013/14-2015/16","S02001543","Tranent North","East Lothian","Attainment","Raw"
"2925",5.78,"2013/14-2015/16","S02001542","Cockenzie","East Lothian","Attainment","Raw"
"2926",5.38,"2013/14-2015/16","S02001537","Musselburgh North","East Lothian","Attainment","Raw"
"2927",5.88,"2013/14-2015/16","S02001536","Musselburgh West","East Lothian","Attainment","Raw"
"2928",4.97,"2013/14-2015/16","S02001539","Pinkie Braes","East Lothian","Attainment","Raw"
"2929",5.17,"2013/14-2015/16","S02001538","Musselburgh East","East Lothian","Attainment","Raw"
"2930",5.31,"2013/14-2015/16","S02001549","Haddington South","East Lothian","Attainment","Raw"
"2931",5.85,"2013/14-2015/16","S02001548","Haddington North","East Lothian","Attainment","Raw"
"2932",6.14,"2013/14-2015/16","S02001551","North Berwick North","East Lothian","Attainment","Raw"
"2933",5.79,"2013/14-2015/16","S02001550","Gullane and Drem","East Lothian","Attainment","Raw"
"2934",5.54,"2013/14-2015/16","S02001545","Ormiston","East Lothian","Attainment","Raw"
"2935",5.45,"2013/14-2015/16","S02001544","Tranent South","East Lothian","Attainment","Raw"
"2936",5.93,"2013/14-2015/16","S02001547","Haddington Rural","East Lothian","Attainment","Raw"
"2937",5.88,"2013/14-2015/16","S02001546","Longniddry and Aberlady","East Lothian","Attainment","Raw"
"2938",5.86,"2013/14-2015/16","S02001526","Kirkintilloch South","East Dunbartonshire","Attainment","Raw"
"2939",6.33,"2013/14-2015/16","S02001525","Lenzie South","East Dunbartonshire","Attainment","Raw"
"2940",5.3,"2013/14-2015/16","S02001528","Hillhead","East Dunbartonshire","Attainment","Raw"
"2941",6.16,"2013/14-2015/16","S02001527","Kirkintilloch West","East Dunbartonshire","Attainment","Raw"
"2942",6.04,"2013/14-2015/16","S02001522","Woodhill East","East Dunbartonshire","Attainment","Raw"
"2943",5.69,"2013/14-2015/16","S02001521","Auchinairn","East Dunbartonshire","Attainment","Raw"
"2944",6.15,"2013/14-2015/16","S02001524","Lenzie North","East Dunbartonshire","Attainment","Raw"
"2945",6,"2013/14-2015/16","S02001523","Woodhill West","East Dunbartonshire","Attainment","Raw"
"2946",5.6,"2013/14-2015/16","S02001533","Lennoxtown","East Dunbartonshire","Attainment","Raw"
"2947",5.78,"2013/14-2015/16","S02001532","Milton of Campsie","East Dunbartonshire","Attainment","Raw"
"2948",5.54,"2013/14-2015/16","S02001535","Musselburgh South","East Lothian","Attainment","Raw"
"2949",5.23,"2013/14-2015/16","S02001534","Wallyford/Whitecraig","East Lothian","Attainment","Raw"
"2950",5.55,"2013/14-2015/16","S02001530","Twechar and Harestanes East","East Dunbartonshire","Attainment","Raw"
"2951",5.63,"2013/14-2015/16","S02001529","Rosebank and Waterside","East Dunbartonshire","Attainment","Raw"
"2952",5.62,"2013/14-2015/16","S02001531","Harestanes","East Dunbartonshire","Attainment","Raw"
"2953",5.42,"2013/14-2015/16","S02001700","Banknock, Haggs and Longcroft","Falkirk","Attainment","Raw"
"2954",5.73,"2013/14-2015/16","S02001699","Head of Muir and Dennyloanhead","Falkirk","Attainment","Raw"
"2955",5.49,"2013/14-2015/16","S02001702","High Bonnybridge and Greenhill","Falkirk","Attainment","Raw"
"2956",5.31,"2013/14-2015/16","S02001701","Bonnybridge","Falkirk","Attainment","Raw"
"2957",5.45,"2013/14-2015/16","S02001696","Dunipace","Falkirk","Attainment","Raw"
"2958",5.95,"2013/14-2015/16","S02001695","Point","Eilean Siar","Attainment","Raw"
"2959",5.3,"2013/14-2015/16","S02001698","Denny - Nethermains","Falkirk","Attainment","Raw"
"2960",5.49,"2013/14-2015/16","S02001697","Fankerton, Stoneywood and Denny Town","Falkirk","Attainment","Raw"
"2961",6,"2013/14-2015/16","S02001708","Carron","Falkirk","Attainment","Raw"
"2962",6.08,"2013/14-2015/16","S02001707","Stenhousemuir - Antonshill","Falkirk","Attainment","Raw"
"2963",5.35,"2013/14-2015/16","S02001710","Carse and Grangemouth Old Town","Falkirk","Attainment","Raw"
"2964",5.35,"2013/14-2015/16","S02001709","Carronshore","Falkirk","Attainment","Raw"
"2965",5.94,"2013/14-2015/16","S02001704","Larbert - South Broomage and Village","Falkirk","Attainment","Raw"
"2966",5.84,"2013/14-2015/16","S02001703","Larbert - North Broomage and Inches","Falkirk","Attainment","Raw"
"2967",5.75,"2013/14-2015/16","S02001706","Stenhousemuir East","Falkirk","Attainment","Raw"
"2968",5.27,"2013/14-2015/16","S02001705","Stenhousemuir West","Falkirk","Attainment","Raw"
"2969",5.37,"2013/14-2015/16","S02001684","Dalmeny, Kirkliston and Newbridge","Edinburgh, City of","Attainment","Raw"
"2970",5.6,"2013/14-2015/16","S02001683","Ratho, Ingliston and Gogar","Edinburgh, City of","Attainment","Raw"
"2971",5.8,"2013/14-2015/16","S02001686","Queensferry West","Edinburgh, City of","Attainment","Raw"
"2972",5.54,"2013/14-2015/16","S02001685","Queensferry East","Edinburgh, City of","Attainment","Raw"
"2973",5.66,"2013/14-2015/16","S02001680","Carrick Knowe","Edinburgh, City of","Attainment","Raw"
"2974",6.26,"2013/14-2015/16","S02001679","Corstorphine","Edinburgh, City of","Attainment","Raw"
"2975",5.7,"2013/14-2015/16","S02001682","South Gyle","Edinburgh, City of","Attainment","Raw"
"2976",5.5,"2013/14-2015/16","S02001681","Corstorphine South","Edinburgh, City of","Attainment","Raw"
"2977",5.53,"2013/14-2015/16","S02001692","Broadbay","Eilean Siar","Attainment","Raw"
"2978",5.79,"2013/14-2015/16","S02001691","Northwest Lewis","Eilean Siar","Attainment","Raw"
"2979",5.66,"2013/14-2015/16","S02001694","Stornoway East","Eilean Siar","Attainment","Raw"
"2980",5.58,"2013/14-2015/16","S02001693","Stornoway West","Eilean Siar","Attainment","Raw"
"2981",5.67,"2013/14-2015/16","S02001688","Benbecula and North Uist","Eilean Siar","Attainment","Raw"
"2982",5.72,"2013/14-2015/16","S02001687","Barra and South Uist","Eilean Siar","Attainment","Raw"
"2983",5.55,"2013/14-2015/16","S02001690","South Lewis","Eilean Siar","Attainment","Raw"
"2984",6.13,"2013/14-2015/16","S02001689","Harris","Eilean Siar","Attainment","Raw"
"2985",5.57,"2013/14-2015/16","S02001731","Grangemouth - Town Centre","Falkirk","Attainment","Raw"
"2986",5.24,"2013/14-2015/16","S02001730","Grangemouth - Newlands","Falkirk","Attainment","Raw"
"2987",5.04,"2013/14-2015/16","S02001733","Grangemouth - Bowhouse","Falkirk","Attainment","Raw"
"2988",4.98,"2013/14-2015/16","S02001732","Grangemouth - Kersiebank","Falkirk","Attainment","Raw"
"2989",5.82,"2013/14-2015/16","S02001727","Polmont","Falkirk","Attainment","Raw"
"2990",5.34,"2013/14-2015/16","S02001726","Maddiston and Rumford","Falkirk","Attainment","Raw"
"2991",5.1,"2013/14-2015/16","S02001729","Laurieston and Westquarter","Falkirk","Attainment","Raw"
"2992",5.09,"2013/14-2015/16","S02001728","Redding","Falkirk","Attainment","Raw"
"2993",5.07,"2013/14-2015/16","S02001739","Oakley Comrie and Blairhall","Fife","Attainment","Raw"
"2994",5.54,"2013/14-2015/16","S02001738","Kincardine","Fife","Attainment","Raw"
"2995",5.23,"2013/14-2015/16","S02001741","Valleyfield Culross and Torryburn","Fife","Attainment","Raw"
"2996",5.69,"2013/14-2015/16","S02001740","Saline and Gowkhall","Fife","Attainment","Raw"
"2997",5.33,"2013/14-2015/16","S02001735","Bo'ness - Newtown","Falkirk","Attainment","Raw"
"2998",5.47,"2013/14-2015/16","S02001734","Bo'ness - Douglas","Falkirk","Attainment","Raw"
"2999",5.22,"2013/14-2015/16","S02001737","Blackness, Bo'ness - Carriden and Grahamsdyke","Falkirk","Attainment","Raw"
"3000",4.93,"2013/14-2015/16","S02001736","Bo'ness - Kinneil","Falkirk","Attainment","Raw"
"3001",5.92,"2013/14-2015/16","S02001716","Falkirk - Bantaskin","Falkirk","Attainment","Raw"
"3002",5.58,"2013/14-2015/16","S02001715","Falkirk - Town Centre and Callendar Park","Falkirk","Attainment","Raw"
"3003",4.89,"2013/14-2015/16","S02001718","Falkirk - Camelon West","Falkirk","Attainment","Raw"
"3004",5.03,"2013/14-2015/16","S02001717","Falkirk - Camelon East","Falkirk","Attainment","Raw"
"3005",5.56,"2013/14-2015/16","S02001712","Falkirk - Merchiston and New Carron Village","Falkirk","Attainment","Raw"
"3006",4.72,"2013/14-2015/16","S02001711","Falkirk - Bainsford and Langlees","Falkirk","Attainment","Raw"
"3007",5.01,"2013/14-2015/16","S02001714","Falkirk - Middlefield","Falkirk","Attainment","Raw"
"3008",5.66,"2013/14-2015/16","S02001713","Falkirk - Grahamston","Falkirk","Attainment","Raw"
"3009",4.85,"2013/14-2015/16","S02001723","Braes Villages","Falkirk","Attainment","Raw"
"3010",5.41,"2013/14-2015/16","S02001722","Shieldhill","Falkirk","Attainment","Raw"
"3011",5.74,"2013/14-2015/16","S02001725","Brightons and Wallacestone","Falkirk","Attainment","Raw"
"3012",5.85,"2013/14-2015/16","S02001724","Reddingmuirhead and Overton","Falkirk","Attainment","Raw"
"3013",6.13,"2013/14-2015/16","S02001720","Falkirk - Lochgreen and Lionthorn","Falkirk","Attainment","Raw"
"3014",5.11,"2013/14-2015/16","S02001719","Falkirk - Tamfourhill","Falkirk","Attainment","Raw"
"3015",5.1,"2013/14-2015/16","S02001721","Hallglen and Glen Village","Falkirk","Attainment","Raw"
"3016",4.93,"2013/14-2015/16","S02001637","Restalrig (Loganlea) and Craigentinny West","Edinburgh, City of","Attainment","Raw"
"3017",5.71,"2013/14-2015/16","S02001636","Craigentinny","Edinburgh, City of","Attainment","Raw"
"3018",5.75,"2013/14-2015/16","S02001639","Leith (Hermitage and Prospect Bank)","Edinburgh, City of","Attainment","Raw"
"3019",4.77,"2013/14-2015/16","S02001638","Restalrig and Lochend","Edinburgh, City of","Attainment","Raw"
"3020",6.05,"2013/14-2015/16","S02001633","Duddingston and Portobello South","Edinburgh, City of","Attainment","Raw"
"3021",5.51,"2013/14-2015/16","S02001632","Portobello","Edinburgh, City of","Attainment","Raw"
"3022",5.07,"2013/14-2015/16","S02001635","Northfield and Piershill","Edinburgh, City of","Attainment","Raw"
"3023",5.73,"2013/14-2015/16","S02001634","Mountcastle","Edinburgh, City of","Attainment","Raw"
"3024",5.13,"2013/14-2015/16","S02001645","Easter Road and Hawkhill Avenue","Edinburgh, City of","Attainment","Raw"
"3025",4.68,"2013/14-2015/16","S02001644","South Leith","Edinburgh, City of","Attainment","Raw"
"3026",5.74,"2013/14-2015/16","S02001647","Hillside and Calton Hill","Edinburgh, City of","Attainment","Raw"
"3027",5.46,"2013/14-2015/16","S02001646","Leith (Albert Street)","Edinburgh, City of","Attainment","Raw"
"3028",5.07,"2013/14-2015/16","S02001641","North Leith and Newhaven","Edinburgh, City of","Attainment","Raw"
"3029",5.23,"2013/14-2015/16","S02001640","Western Harbour and Leith Docks","Edinburgh, City of","Attainment","Raw"
"3030",4.99,"2013/14-2015/16","S02001643","Great Junction Street","Edinburgh, City of","Attainment","Raw"
"3031",5.13,"2013/14-2015/16","S02001642","The Shore and Constitution Street","Edinburgh, City of","Attainment","Raw"
"3032",5.95,"2013/14-2015/16","S02001621","Meadows and Southside","Edinburgh, City of","Attainment","Raw"
"3033",5.76,"2013/14-2015/16","S02001620","Tollcross","Edinburgh, City of","Attainment","Raw"
"3034",5.04,"2013/14-2015/16","S02001623","Canongate, Southside and Dumbiedykes","Edinburgh, City of","Attainment","Raw"
"3035",5.41,"2013/14-2015/16","S02001622","Old Town, Princes Street and Leith Street","Edinburgh, City of","Attainment","Raw"
"3036",6.31,"2013/14-2015/16","S02001617","Bruntsfield","Edinburgh, City of","Attainment","Raw"
"3037",5.98,"2013/14-2015/16","S02001616","Merchiston and Greenhill","Edinburgh, City of","Attainment","Raw"
"3038",5.22,"2013/14-2015/16","S02001619","Dalry and Fountainbridge","Edinburgh, City of","Attainment","Raw"
"3039",6.19,"2013/14-2015/16","S02001618","Polwarth","Edinburgh, City of","Attainment","Raw"
"3040",4.74,"2013/14-2015/16","S02001629","Bingham, Magdalene and The Christians","Edinburgh, City of","Attainment","Raw"
"3041",4.69,"2013/14-2015/16","S02001628","Niddrie","Edinburgh, City of","Attainment","Raw"
"3042",6.08,"2013/14-2015/16","S02001631","Joppa","Edinburgh, City of","Attainment","Raw"
"3043",5.45,"2013/14-2015/16","S02001630","Jewel, Brunstane and Newcraighall","Edinburgh, City of","Attainment","Raw"
"3044",5.23,"2013/14-2015/16","S02001625","Meadowbank and Abbeyhill North","Edinburgh, City of","Attainment","Raw"
"3045",4.91,"2013/14-2015/16","S02001624","Abbeyhill","Edinburgh, City of","Attainment","Raw"
"3046",4.7,"2013/14-2015/16","S02001627","Craigmillar","Edinburgh, City of","Attainment","Raw"
"3047",5.76,"2013/14-2015/16","S02001626","Willowbrae and Duddingston Village","Edinburgh, City of","Attainment","Raw"
"3048",4.96,"2013/14-2015/16","S02001668","Granton South and Wardieburn","Edinburgh, City of","Attainment","Raw"
"3049",5.5,"2013/14-2015/16","S02001667","Boswall and Pilton","Edinburgh, City of","Attainment","Raw"
"3050",4.92,"2013/14-2015/16","S02001670","Granton West and Salvesen","Edinburgh, City of","Attainment","Raw"
"3051",4.79,"2013/14-2015/16","S02001669","Granton and Royston Mains","Edinburgh, City of","Attainment","Raw"
"3052",6.23,"2013/14-2015/16","S02001664","Blackhall","Edinburgh, City of","Attainment","Raw"
"3053",6,"2013/14-2015/16","S02001663","Craigleith, Orchard Brae and Crewe Toll","Edinburgh, City of","Attainment","Raw"
"3054",4.7,"2013/14-2015/16","S02001666","West Pilton","Edinburgh, City of","Attainment","Raw"
"3055",4.86,"2013/14-2015/16","S02001665","Drylaw","Edinburgh, City of","Attainment","Raw"
"3056",5.66,"2013/14-2015/16","S02001676","East Craigs North","Edinburgh, City of","Attainment","Raw"
"3057",5.32,"2013/14-2015/16","S02001675","Clermiston and Drumbrae","Edinburgh, City of","Attainment","Raw"
"3058",6.04,"2013/14-2015/16","S02001678","Corstorphine North","Edinburgh, City of","Attainment","Raw"
"3059",6.09,"2013/14-2015/16","S02001677","East Craigs South","Edinburgh, City of","Attainment","Raw"
"3060",6.04,"2013/14-2015/16","S02001672","Silverknowes and Davidson's Mains","Edinburgh, City of","Attainment","Raw"
"3061",4.82,"2013/14-2015/16","S02001671","Muirhouse","Edinburgh, City of","Attainment","Raw"
"3062",6.01,"2013/14-2015/16","S02001674","Barnton, Cammo and Cramond South","Edinburgh, City of","Attainment","Raw"
"3063",6.21,"2013/14-2015/16","S02001673","Cramond","Edinburgh, City of","Attainment","Raw"
"3064",5.25,"2013/14-2015/16","S02001653","Broughton North and Powderhall","Edinburgh, City of","Attainment","Raw"
"3065",5.52,"2013/14-2015/16","S02001652","Inverleith, Goldenacre and Warriston","Edinburgh, City of","Attainment","Raw"
"3066",5.96,"2013/14-2015/16","S02001655","New Town East and Gayfield","Edinburgh, City of","Attainment","Raw"
"3067",5.65,"2013/14-2015/16","S02001654","Broughton South","Edinburgh, City of","Attainment","Raw"
"3068",5.51,"2013/14-2015/16","S02001649","Bonnington","Edinburgh, City of","Attainment","Raw"
"3069",5.2,"2013/14-2015/16","S02001648","Pilrig","Edinburgh, City of","Attainment","Raw"
"3070",5.78,"2013/14-2015/16","S02001651","Trinity","Edinburgh, City of","Attainment","Raw"
"3071",6.04,"2013/14-2015/16","S02001650","Trinity East and The Dudleys","Edinburgh, City of","Attainment","Raw"
"3072",5.88,"2013/14-2015/16","S02001660","Deans Village","Edinburgh, City of","Attainment","Raw"
"3073",6,"2013/14-2015/16","S02001659","Comely Bank","Edinburgh, City of","Attainment","Raw"
"3074",5.89,"2013/14-2015/16","S02001662","Murrayfield and Ravelston","Edinburgh, City of","Attainment","Raw"
"3075",5.77,"2013/14-2015/16","S02001661","Balgreen and Roseburn","Edinburgh, City of","Attainment","Raw"
"3076",6.43,"2013/14-2015/16","S02001657","Canonmills and New Town North","Edinburgh, City of","Attainment","Raw"
"3077",6,"2013/14-2015/16","S02001656","New Town West","Edinburgh, City of","Attainment","Raw"
"3078",6.03,"2013/14-2015/16","S02001658","Stockbridge","Edinburgh, City of","Attainment","Raw"
"3079",5.46,"2013/14-2015/16","S02001320","Clashindarroch","Aberdeenshire","Attainment","Raw"
"3080",5.47,"2013/14-2015/16","S02001319","Insch, Oyne and Ythanwells","Aberdeenshire","Attainment","Raw"
"3081",5.31,"2013/14-2015/16","S02001322","Auchterless and Monquhitter","Aberdeenshire","Attainment","Raw"
"3082",5.24,"2013/14-2015/16","S02001321","Huntly","Aberdeenshire","Attainment","Raw"
"3083",5.78,"2013/14-2015/16","S02001316","Ythsie","Aberdeenshire","Attainment","Raw"
"3084",5.66,"2013/14-2015/16","S02001315","Ythanside","Aberdeenshire","Attainment","Raw"
"3085",5.47,"2013/14-2015/16","S02001318","Fyvie-Rothie","Aberdeenshire","Attainment","Raw"
"3086",5.64,"2013/14-2015/16","S02001317","Barrahill","Aberdeenshire","Attainment","Raw"
"3087",5.37,"2013/14-2015/16","S02001328","Gardenstown and King Edward","Aberdeenshire","Attainment","Raw"
"3088",5.2,"2013/14-2015/16","S02001327","Macduff","Aberdeenshire","Attainment","Raw"
"3089",5.24,"2013/14-2015/16","S02001330","Deer and Mormond","Aberdeenshire","Attainment","Raw"
"3090",5.24,"2013/14-2015/16","S02001329","New Pitsligo","Aberdeenshire","Attainment","Raw"
"3091",5.22,"2013/14-2015/16","S02001324","Portsoy, Fordyce and Cornhill","Aberdeenshire","Attainment","Raw"
"3092",5.4,"2013/14-2015/16","S02001323","Turriff","Aberdeenshire","Attainment","Raw"
"3093",5.21,"2013/14-2015/16","S02001326","Banff","Aberdeenshire","Attainment","Raw"
"3094",5.31,"2013/14-2015/16","S02001325","Aberchirder and Whitehills","Aberdeenshire","Attainment","Raw"
"3095",5.08,"2013/14-2015/16","S02001304","Inverurie South","Aberdeenshire","Attainment","Raw"
"3096",5.5,"2013/14-2015/16","S02001303","Inverurie North","Aberdeenshire","Attainment","Raw"
"3097",5.7,"2013/14-2015/16","S02001306","Kintore","Aberdeenshire","Attainment","Raw"
"3098",5.73,"2013/14-2015/16","S02001305","Durno-Chapel of Garioch","Aberdeenshire","Attainment","Raw"
"3099",5.6,"2013/14-2015/16","S02001300","Cromar and Kildrummy","Aberdeenshire","Attainment","Raw"
"3100",6.03,"2013/14-2015/16","S02001299","Crathes and Torphins","Aberdeenshire","Attainment","Raw"
"3101",5.53,"2013/14-2015/16","S02001302","Kemnay","Aberdeenshire","Attainment","Raw"
