"","value","Year","IZCode","IZName","CPP","Indicator","Type"
"24",5.46,"2011/12-2013/14","S02001822","Kettle and Ladybank","Fife","Attainment","Raw"
"25",5.97,"2011/12-2013/14","S02001833","Crail and Boarhills","Fife","Attainment","Raw"
"26",5.43,"2011/12-2013/14","S02001832","Anstruther","Fife","Attainment","Raw"
"27",5.41,"2011/12-2013/14","S02001835","St Andrews Central","Fife","Attainment","Raw"
"28",5.3,"2011/12-2013/14","S02001834","St Andrews South East","Fife","Attainment","Raw"
"29",5.98,"2011/12-2013/14","S02001829","Dairsie Ceres and Dunino","Fife","Attainment","Raw"
"30",5.65,"2011/12-2013/14","S02001828","Cupar East","Fife","Attainment","Raw"
"31",5.39,"2011/12-2013/14","S02001831","St Monans and Pittenweem","Fife","Attainment","Raw"
"32",5.8,"2011/12-2013/14","S02001830","Elie Colinsburgh and Largoward","Fife","Attainment","Raw"
"33",5.63,"2011/12-2013/14","S02001873","Pollokshaws","Glasgow City","Attainment","Raw"
"34",6.08,"2011/12-2013/14","S02001872","Langside","Glasgow City","Attainment","Raw"
"35",5.34,"2011/12-2013/14","S02001875","Carnwadric East","Glasgow City","Attainment","Raw"
"36",5.3,"2011/12-2013/14","S02001874","Carnwadric West","Glasgow City","Attainment","Raw"
"37",5.9,"2011/12-2013/14","S02001869","Maxwell Park","Glasgow City","Attainment","Raw"
"38",5.12,"2011/12-2013/14","S02001868","Strathbungo","Glasgow City","Attainment","Raw"
"39",5.94,"2011/12-2013/14","S02001871","Shawlands East","Glasgow City","Attainment","Raw"
"40",5.52,"2011/12-2013/14","S02001870","Shawlands West","Glasgow City","Attainment","Raw"
"41",5.1,"2011/12-2013/14","S02001881","Glenwood South","Glasgow City","Attainment","Raw"
"42",5.21,"2011/12-2013/14","S02001880","Carmunnock South","Glasgow City","Attainment","Raw"
"43",5.28,"2011/12-2013/14","S02001883","Castlemilk","Glasgow City","Attainment","Raw"
"44",5.15,"2011/12-2013/14","S02001882","Glenwood North","Glasgow City","Attainment","Raw"
"45",5.61,"2011/12-2013/14","S02001877","Merrylee and Millbrae","Glasgow City","Attainment","Raw"
"46",5.7,"2011/12-2013/14","S02001876","Newlands","Glasgow City","Attainment","Raw"
"47",5.89,"2011/12-2013/14","S02001879","Carmunnock North","Glasgow City","Attainment","Raw"
"48",5.94,"2011/12-2013/14","S02001878","Muirend and Old Cathcart","Glasgow City","Attainment","Raw"
"49",5,"2011/12-2013/14","S02001857","Craigton","Glasgow City","Attainment","Raw"
"50",5.05,"2011/12-2013/14","S02001856","Govan and Linthouse","Glasgow City","Attainment","Raw"
"51",4.68,"2011/12-2013/14","S02001859","Ibrox","Glasgow City","Attainment","Raw"
"52",5.44,"2011/12-2013/14","S02001858","Mosspark","Glasgow City","Attainment","Raw"
"53",5.06,"2011/12-2013/14","S02001853","Penilee","Glasgow City","Attainment","Raw"
"54",5.62,"2011/12-2013/14","S02001852","Cardonald West and Central","Glasgow City","Attainment","Raw"
"55",5.2,"2011/12-2013/14","S02001855","Drumoyne and Shieldhall","Glasgow City","Attainment","Raw"
"56",5.12,"2011/12-2013/14","S02001854","Hillington","Glasgow City","Attainment","Raw"
"57",4.79,"2011/12-2013/14","S02001865","Govanhill West","Glasgow City","Attainment","Raw"
"58",5.53,"2011/12-2013/14","S02001864","Pollokshields East","Glasgow City","Attainment","Raw"
"59",5.68,"2011/12-2013/14","S02001867","Battlefield","Glasgow City","Attainment","Raw"
"60",5.02,"2011/12-2013/14","S02001866","Govanhill East and Aikenhead","Glasgow City","Attainment","Raw"
"61",5.32,"2011/12-2013/14","S02001861","Kinning Park and Festival Park","Glasgow City","Attainment","Raw"
"62",4.85,"2011/12-2013/14","S02001860","Ibrox East and Cessnock","Glasgow City","Attainment","Raw"
"63",5.42,"2011/12-2013/14","S02001863","Pollokshields West","Glasgow City","Attainment","Raw"
"64",5.27,"2011/12-2013/14","S02001862","Kingston West and Dumbreck","Glasgow City","Attainment","Raw"
"65",5.21,"2011/12-2013/14","S02001778","Lochgelly West and Lumphinnans","Fife","Attainment","Raw"
"66",5.18,"2011/12-2013/14","S02001777","Lochgelly East","Fife","Attainment","Raw"
"67",5.24,"2011/12-2013/14","S02001780","Burntisland West","Fife","Attainment","Raw"
"68",6.06,"2011/12-2013/14","S02001779","Aberdour and Auchtertool","Fife","Attainment","Raw"
"69",4.99,"2011/12-2013/14","S02001774","Lochore and Crosshill","Fife","Attainment","Raw"
"70",5.49,"2011/12-2013/14","S02001773","Kelty East","Fife","Attainment","Raw"
"71",5,"2011/12-2013/14","S02001776","Cardenden","Fife","Attainment","Raw"
"72",4.82,"2011/12-2013/14","S02001775","Ballingry","Fife","Attainment","Raw"
"73",5.09,"2011/12-2013/14","S02001786","Kirkcaldy Bennochy West","Fife","Attainment","Raw"
"74",5.53,"2011/12-2013/14","S02001785","Kirkcaldy Bennochy East","Fife","Attainment","Raw"
"75",5.48,"2011/12-2013/14","S02001788","Kirkcaldy Newliston and Redcraigs","Fife","Attainment","Raw"
"76",5.98,"2011/12-2013/14","S02001787","Kirkcaldy Raith","Fife","Attainment","Raw"
"77",5.72,"2011/12-2013/14","S02001782","Kinghorn","Fife","Attainment","Raw"
"78",5.76,"2011/12-2013/14","S02001781","Burntisland East","Fife","Attainment","Raw"
"79",5.72,"2011/12-2013/14","S02001784","Kirkcaldy Central","Fife","Attainment","Raw"
"80",5.28,"2011/12-2013/14","S02001783","Kirkcaldy Linktown & Seafield","Fife","Attainment","Raw"
"81",5.02,"2011/12-2013/14","S02001762","Rosyth South","Fife","Attainment","Raw"
"82",5.03,"2011/12-2013/14","S02001761","Rosyth Central","Fife","Attainment","Raw"
"83",5.17,"2011/12-2013/14","S02001764","Inverkeithing East","Fife","Attainment","Raw"
"84",5.43,"2011/12-2013/14","S02001763","North Queensferry and Inverkeithing West","Fife","Attainment","Raw"
"85",5.73,"2011/12-2013/14","S02001758","Dunfermline Pitcorthie West","Fife","Attainment","Raw"
"86",5.83,"2011/12-2013/14","S02001757","Dunfermline Pitcorthie East","Fife","Attainment","Raw"
"87",4.98,"2011/12-2013/14","S02001760","Rosyth East","Fife","Attainment","Raw"
"88",5.3,"2011/12-2013/14","S02001759","Rosyth North","Fife","Attainment","Raw"
"89",5.11,"2011/12-2013/14","S02001770","Cowdenbeath South","Fife","Attainment","Raw"
"90",4.93,"2011/12-2013/14","S02001769","Hill of Beath and Kingseat","Fife","Attainment","Raw"
"91",4.89,"2011/12-2013/14","S02001772","Kelty West","Fife","Attainment","Raw"
"92",5.32,"2011/12-2013/14","S02001771","Cowdenbeath North","Fife","Attainment","Raw"
"93",6.06,"2011/12-2013/14","S02001766","Dalgety Bay Central","Fife","Attainment","Raw"
"94",6.17,"2011/12-2013/14","S02001765","Dalgety Bay West and Hillend","Fife","Attainment","Raw"
"95",5.63,"2011/12-2013/14","S02001768","Crossgates and Halbeath","Fife","Attainment","Raw"
"96",6,"2011/12-2013/14","S02001767","Dalgety Bay East","Fife","Attainment","Raw"
"97",5.15,"2011/12-2013/14","S02001809","Glenrothes Cadham and Pitcoudie","Fife","Attainment","Raw"
"98",4.69,"2011/12-2013/14","S02001808","Glenrothes Collydean","Fife","Attainment","Raw"
"99",5.83,"2011/12-2013/14","S02001811","Markinch and Star","Fife","Attainment","Raw"
"100",5.4,"2011/12-2013/14","S02001810","Glenrothes Balfarg Pitcairn and Coul","Fife","Attainment","Raw"
"101",5.42,"2011/12-2013/14","S02001805","Glenrothes Pitteuchar","Fife","Attainment","Raw"
"102",5.6,"2011/12-2013/14","S02001804","Glenrothes Stenton and Finglassie","Fife","Attainment","Raw"
"103",5.9,"2011/12-2013/14","S02001807","Glenrothes Balgeddie and Town Park","Fife","Attainment","Raw"
"104",5.18,"2011/12-2013/14","S02001806","Glenrothes Woodside","Fife","Attainment","Raw"
"105",5.48,"2011/12-2013/14","S02001817","Leven East","Fife","Attainment","Raw"
"106",4.62,"2011/12-2013/14","S02001816","Methil East","Fife","Attainment","Raw"
"107",5.27,"2011/12-2013/14","S02001819","Leven North","Fife","Attainment","Raw"
"108",5.09,"2011/12-2013/14","S02001818","Leven West","Fife","Attainment","Raw"
"109",4.93,"2011/12-2013/14","S02001813","Buckhaven, Denbeath and Muiredge","Fife","Attainment","Raw"
"110",5.61,"2011/12-2013/14","S02001812","Windygates and Coaltown","Fife","Attainment","Raw"
"111",4.52,"2011/12-2013/14","S02001815","Methil West","Fife","Attainment","Raw"
"112",4.77,"2011/12-2013/14","S02001814","Methil Methilhill","Fife","Attainment","Raw"
"113",5.87,"2011/12-2013/14","S02001794","Kirkcaldy Pathhead","Fife","Attainment","Raw"
"114",4.6,"2011/12-2013/14","S02001793","Kirkcaldy Hayfield and Smeaton","Fife","Attainment","Raw"
"115",5.19,"2011/12-2013/14","S02001796","Dysart","Fife","Attainment","Raw"
"116",5.03,"2011/12-2013/14","S02001795","Kirkcaldy Gallatown and Sinclairtown","Fife","Attainment","Raw"
"117",4.87,"2011/12-2013/14","S02001790","Kirkcaldy Templehall East","Fife","Attainment","Raw"
"118",5.08,"2011/12-2013/14","S02001789","Kirkcaldy Templehall West","Fife","Attainment","Raw"
"119",5.45,"2011/12-2013/14","S02001792","Kirkcaldy Chapel","Fife","Attainment","Raw"
"120",5.73,"2011/12-2013/14","S02001791","Kirkcaldy Dunnikier","Fife","Attainment","Raw"
"121",5.41,"2011/12-2013/14","S02001801","Glenrothes South Parks","Fife","Attainment","Raw"
"122",4.73,"2011/12-2013/14","S02001800","Glenrothes Macedonia and Tanshall","Fife","Attainment","Raw"
"123",4.75,"2011/12-2013/14","S02001803","Glenrothes Auchmuty","Fife","Attainment","Raw"
"124",5.05,"2011/12-2013/14","S02001802","Glenrothes Caskieberran and Rimbleton","Fife","Attainment","Raw"
"125",5.07,"2011/12-2013/14","S02001798","Thornton and Kinglassie","Fife","Attainment","Raw"
"126",5.34,"2011/12-2013/14","S02001797","Wemyss","Fife","Attainment","Raw"
"127",5.1,"2011/12-2013/14","S02001799","Leslie and Newcastle","Fife","Attainment","Raw"
"128",5.28,"2011/12-2013/14","S02001968","Knightswood Park West","Glasgow City","Attainment","Raw"
"129",5.07,"2011/12-2013/14","S02001967","Knightswood East","Glasgow City","Attainment","Raw"
"130",5.91,"2011/12-2013/14","S02001970","Anniesland East","Glasgow City","Attainment","Raw"
"131",5.22,"2011/12-2013/14","S02001969","Knightswood Park East","Glasgow City","Attainment","Raw"
"132",4.84,"2011/12-2013/14","S02001964","Yoker South","Glasgow City","Attainment","Raw"
"133",4.88,"2011/12-2013/14","S02001963","Scotstoun South and West","Glasgow City","Attainment","Raw"
"134",5.22,"2011/12-2013/14","S02001966","Knightswood West","Glasgow City","Attainment","Raw"
"135",5.41,"2011/12-2013/14","S02001965","Yoker North","Glasgow City","Attainment","Raw"
"136",4.41,"2011/12-2013/14","S02001976","Drumry East","Glasgow City","Attainment","Raw"
"137",4.56,"2011/12-2013/14","S02001975","Drumchapel North","Glasgow City","Attainment","Raw"
