"","Year","CA","Value","CPP","FG","Indicator","Type"
"293","2017/18","S12000011",87.3798076923077,"East Renfrewshire",1,"Healthy Birthweight","Raw"
"294","2017/18","S12000013",87.9581151832461,"Eilean Siar",4,"Healthy Birthweight","Raw"
"295","2017/18","S12000014",89.8281786941581,"Falkirk",3,"Healthy Birthweight","Raw"
"296","2017/18","S12000017",89.8536092882383,"Highland",2,"Healthy Birthweight","Raw"
"297","2017/18","S12000018",87.2340425531915,"Inverclyde",4,"Healthy Birthweight","Raw"
"298","2017/18","S12000019",89.1682785299807,"Midlothian",2,"Healthy Birthweight","Raw"
"299","2017/18","S12000020",91.2988650693569,"Moray",2,"Healthy Birthweight","Raw"
"300","2017/18","S12000021",89.9059024807528,"North Ayrshire",4,"Healthy Birthweight","Raw"
"301","2017/18","S12000023",86.4197530864197,"Orkney Islands",1,"Healthy Birthweight","Raw"
"302","2017/18","S12000026",89.4273127753304,"Scottish Borders",2,"Healthy Birthweight","Raw"
"303","2017/18","S12000027",83.4146341463415,"Shetland Islands",1,"Healthy Birthweight","Raw"
"304","2017/18","S12000028",88.9380530973451,"South Ayrshire",3,"Healthy Birthweight","Raw"
"305","2017/18","S12000029",88.2968290290945,"South Lanarkshire",3,"Healthy Birthweight","Raw"
"306","2017/18","S12000030",91.005291005291,"Stirling",2,"Healthy Birthweight","Raw"
"307","2017/18","S12000033",90.3526550466153,"Aberdeen City",1,"Healthy Birthweight","Raw"
"308","2017/18","S12000034",90.9090909090909,"Aberdeenshire",1,"Healthy Birthweight","Raw"
"309","2017/18","S12000035",79.3624161073825,"Argyll and Bute",2,"Healthy Birthweight","Raw"
"310","2017/18","S12000036",90.7491721854305,"Edinburgh, City of",1,"Healthy Birthweight","Raw"
"311","2017/18","S12000038",85.9689476710753,"Renfrewshire",3,"Healthy Birthweight","Raw"
"312","2017/18","S12000039",88.5357548240636,"West Dunbartonshire",4,"Healthy Birthweight","Raw"
"313","2017/18","S12000040",87.9168944778568,"West Lothian",3,"Healthy Birthweight","Raw"
"314","2017/18","S12000041",89.1170431211499,"Angus",2,"Healthy Birthweight","Raw"
"315","2017/18","S12000042",89.3511988716502,"Dundee City",4,"Healthy Birthweight","Raw"
"316","2017/18","S12000045",87.0967741935484,"East Dunbartonshire",1,"Healthy Birthweight","Raw"
"317","2017/18","S12000047",89.5758661887694,"Fife",3,"Healthy Birthweight","Raw"
"318","2017/18","S12000048",89.4189071986123,"Perth and Kinross",1,"Healthy Birthweight","Raw"
"319","2017/18","S12000049",87.0390539909756,"Glasgow City",4,"Healthy Birthweight","Raw"
"320","2017/18","S12000050",89.6511627906977,"North Lanarkshire",4,"Healthy Birthweight","Raw"
"321","2018/19","S12000005",91.8465227817746,"Clackmannanshire",3,"Healthy Birthweight","Raw"
"322","2018/19","S12000006",91.6890080428954,"Dumfries and Galloway",3,"Healthy Birthweight","Raw"
"323","2018/19","S12000008",90.3460837887067,"East Ayrshire",4,"Healthy Birthweight","Raw"
"324","2018/19","S12000010",89.5287958115183,"East Lothian",2,"Healthy Birthweight","Raw"
"325","2018/19","S12000011",89.5933014354067,"East Renfrewshire",1,"Healthy Birthweight","Raw"
"326","2018/19","S12000013",88.9447236180904,"Eilean Siar",4,"Healthy Birthweight","Raw"
"327","2018/19","S12000014",91.2139503688799,"Falkirk",3,"Healthy Birthweight","Raw"
"328","2018/19","S12000017",88.6942675159236,"Highland",2,"Healthy Birthweight","Raw"
"329","2018/19","S12000018",90,"Inverclyde",4,"Healthy Birthweight","Raw"
"330","2018/19","S12000019",89.8648648648649,"Midlothian",2,"Healthy Birthweight","Raw"
"331","2018/19","S12000020",89.321608040201,"Moray",2,"Healthy Birthweight","Raw"
"332","2018/19","S12000021",90.9943714821764,"North Ayrshire",4,"Healthy Birthweight","Raw"
"333","2018/19","S12000023",85.632183908046,"Orkney Islands",1,"Healthy Birthweight","Raw"
"334","2018/19","S12000026",90.4653802497162,"Scottish Borders",2,"Healthy Birthweight","Raw"
"335","2018/19","S12000027",89.3401015228426,"Shetland Islands",1,"Healthy Birthweight","Raw"
"336","2018/19","S12000028",91.5789473684211,"South Ayrshire",3,"Healthy Birthweight","Raw"
"337","2018/19","S12000029",89.2235609103079,"South Lanarkshire",3,"Healthy Birthweight","Raw"
"338","2018/19","S12000030",90.7608695652174,"Stirling",2,"Healthy Birthweight","Raw"
"339","2018/19","S12000033",90.4432696217975,"Aberdeen City",1,"Healthy Birthweight","Raw"
"340","2018/19","S12000034",89.8218829516539,"Aberdeenshire",1,"Healthy Birthweight","Raw"
"341","2018/19","S12000035",90.8026755852843,"Argyll and Bute",2,"Healthy Birthweight","Raw"
"342","2018/19","S12000036",90.5801755512738,"Edinburgh, City of",1,"Healthy Birthweight","Raw"
"343","2018/19","S12000038",90.4176904176904,"Renfrewshire",3,"Healthy Birthweight","Raw"
"344","2018/19","S12000039",90.2923976608187,"West Dunbartonshire",4,"Healthy Birthweight","Raw"
"345","2018/19","S12000040",88.0829015544041,"West Lothian",3,"Healthy Birthweight","Raw"
"346","2018/19","S12000041",90.2732240437159,"Angus",2,"Healthy Birthweight","Raw"
"347","2018/19","S12000042",89.8916967509025,"Dundee City",4,"Healthy Birthweight","Raw"
"348","2018/19","S12000045",90.9799554565702,"East Dunbartonshire",1,"Healthy Birthweight","Raw"
"349","2018/19","S12000047",90.3206291591047,"Fife",3,"Healthy Birthweight","Raw"
"350","2018/19","S12000048",90.5829596412556,"Perth and Kinross",1,"Healthy Birthweight","Raw"
"351","2018/19","S12000049",90.5996252342286,"Glasgow City",4,"Healthy Birthweight","Raw"
"352","2018/19","S12000050",89.4720687538367,"North Lanarkshire",4,"Healthy Birthweight","Raw"
"353","2019/20","S12000005",92.4574209245742,"Clackmannanshire",3,"Healthy Birthweight","Raw"
"354","2019/20","S12000006",89.9175068744271,"Dumfries and Galloway",3,"Healthy Birthweight","Raw"
"355","2019/20","S12000008",89.7940913160251,"East Ayrshire",4,"Healthy Birthweight","Raw"
"356","2019/20","S12000010",89.5671476137625,"East Lothian",2,"Healthy Birthweight","Raw"
"357","2019/20","S12000011",87.9487179487179,"East Renfrewshire",1,"Healthy Birthweight","Raw"
"358","2019/20","S12000013",88.2352941176471,"Eilean Siar",4,"Healthy Birthweight","Raw"
"359","2019/20","S12000014",89.4387001477105,"Falkirk",3,"Healthy Birthweight","Raw"
"360","2019/20","S12000017",90.4226859283039,"Highland",2,"Healthy Birthweight","Raw"
"361","2019/20","S12000018",91.2106135986733,"Inverclyde",4,"Healthy Birthweight","Raw"
"362","2019/20","S12000019",90.0512820512821,"Midlothian",2,"Healthy Birthweight","Raw"
"363","2019/20","S12000020",91.2938331318017,"Moray",2,"Healthy Birthweight","Raw"
"364","2019/20","S12000021",89.4545454545455,"North Ayrshire",4,"Healthy Birthweight","Raw"
"365","2019/20","S12000023",88.1656804733728,"Orkney Islands",1,"Healthy Birthweight","Raw"
"366","2019/20","S12000026",89.2682926829268,"Scottish Borders",2,"Healthy Birthweight","Raw"
"367","2019/20","S12000027",85.0267379679144,"Shetland Islands",1,"Healthy Birthweight","Raw"
"368","2019/20","S12000028",90.0954653937948,"South Ayrshire",3,"Healthy Birthweight","Raw"
"369","2019/20","S12000029",89.9763752953088,"South Lanarkshire",3,"Healthy Birthweight","Raw"
"370","2019/20","S12000030",90.2439024390244,"Stirling",2,"Healthy Birthweight","Raw"
"371","2019/20","S12000033",91.9910514541387,"Aberdeen City",1,"Healthy Birthweight","Raw"
"372","2019/20","S12000034",90.2518656716418,"Aberdeenshire",1,"Healthy Birthweight","Raw"
"373","2019/20","S12000035",89.6013864818024,"Argyll and Bute",2,"Healthy Birthweight","Raw"
"374","2019/20","S12000036",90.1805869074492,"Edinburgh, City of",1,"Healthy Birthweight","Raw"
"375","2019/20","S12000038",90.9871244635193,"Renfrewshire",3,"Healthy Birthweight","Raw"
"376","2019/20","S12000039",91.5737298636927,"West Dunbartonshire",4,"Healthy Birthweight","Raw"
"377","2019/20","S12000040",88.6223862238622,"West Lothian",3,"Healthy Birthweight","Raw"
"378","2019/20","S12000041",88.5809312638581,"Angus",2,"Healthy Birthweight","Raw"
"379","2019/20","S12000042",89.8355754857997,"Dundee City",4,"Healthy Birthweight","Raw"
"380","2019/20","S12000045",88.6046511627907,"East Dunbartonshire",1,"Healthy Birthweight","Raw"
"381","2019/20","S12000047",89.6797153024911,"Fife",3,"Healthy Birthweight","Raw"
"382","2019/20","S12000048",88.8694127957932,"Perth and Kinross",1,"Healthy Birthweight","Raw"
"383","2019/20","S12000049",90.3905363798412,"Glasgow City",4,"Healthy Birthweight","Raw"
"384","2019/20","S12000050",90.4953560371517,"North Lanarkshire",4,"Healthy Birthweight","Raw"
"385","2020/21","S12000005",88,"Clackmannanshire",3,"Healthy Birthweight","Raw"
"386","2020/21","S12000006",88.8052681091251,"Dumfries and Galloway",3,"Healthy Birthweight","Raw"
"387","2020/21","S12000008",89.3762183235867,"East Ayrshire",4,"Healthy Birthweight","Raw"
"388","2020/21","S12000010",87.3997709049255,"East Lothian",2,"Healthy Birthweight","Raw"
"389","2020/21","S12000011",91.588785046729,"East Renfrewshire",1,"Healthy Birthweight","Raw"
"390","2020/21","S12000013",91.358024691358,"Eilean Siar",4,"Healthy Birthweight","Raw"
"391","2020/21","S12000014",88.9447236180904,"Falkirk",3,"Healthy Birthweight","Raw"
"392","2020/21","S12000017",89.2290249433106,"Highland",2,"Healthy Birthweight","Raw"
"393","2020/21","S12000018",92.5589836660617,"Inverclyde",4,"Healthy Birthweight","Raw"
"394","2020/21","S12000019",89.1747052518757,"Midlothian",2,"Healthy Birthweight","Raw"
"395","2020/21","S12000020",88.663967611336,"Moray",2,"Healthy Birthweight","Raw"
"396","2020/21","S12000021",88.2946518668012,"North Ayrshire",4,"Healthy Birthweight","Raw"
"397","2020/21","S12000023",83.7037037037037,"Orkney Islands",1,"Healthy Birthweight","Raw"
"398","2020/21","S12000026",88.0577427821522,"Scottish Borders",2,"Healthy Birthweight","Raw"
"399","2020/21","S12000027",87.7906976744186,"Shetland Islands",1,"Healthy Birthweight","Raw"
"400","2020/21","S12000028",88.7381275440977,"South Ayrshire",3,"Healthy Birthweight","Raw"
"401","2020/21","S12000029",90.2551381998583,"South Lanarkshire",3,"Healthy Birthweight","Raw"
"402","2020/21","S12000030",87.3261205564142,"Stirling",2,"Healthy Birthweight","Raw"
"403","2020/21","S12000033",91.1852589641434,"Aberdeen City",1,"Healthy Birthweight","Raw"
"404","2020/21","S12000034",89.4449950445986,"Aberdeenshire",1,"Healthy Birthweight","Raw"
"405","2020/21","S12000035",89.3805309734513,"Argyll and Bute",2,"Healthy Birthweight","Raw"
"406","2020/21","S12000036",89.3577981651376,"Edinburgh, City of",1,"Healthy Birthweight","Raw"
"407","2020/21","S12000038",89.2317793827971,"Renfrewshire",3,"Healthy Birthweight","Raw"
"408","2020/21","S12000039",89.9070385126162,"West Dunbartonshire",4,"Healthy Birthweight","Raw"
"409","2020/21","S12000040",88.5266457680251,"West Lothian",3,"Healthy Birthweight","Raw"
"410","2020/21","S12000041",87.956204379562,"Angus",2,"Healthy Birthweight","Raw"
"411","2020/21","S12000042",90.6148867313916,"Dundee City",4,"Healthy Birthweight","Raw"
"412","2020/21","S12000045",88.1733021077283,"East Dunbartonshire",1,"Healthy Birthweight","Raw"
"413","2020/21","S12000047",88.6913229018492,"Fife",3,"Healthy Birthweight","Raw"
"414","2020/21","S12000048",87.6611418047882,"Perth and Kinross",1,"Healthy Birthweight","Raw"
"415","2020/21","S12000049",91.0738950276243,"Glasgow City",4,"Healthy Birthweight","Raw"
"416","2020/21","S12000050",88.7787723785166,"North Lanarkshire",4,"Healthy Birthweight","Raw"
