"","CPP","Year","value"
"151","North Lanarkshire","2017/18",13308
"152","North Lanarkshire","2018/19",13205
"153","North Lanarkshire","2019/20",13980
"154","North Lanarkshire","2020/21",11699
"155","Orkney Islands","2014/15",405
"156","Orkney Islands","2015/16",408
"157","Orkney Islands","2016/17",493
"158","Orkney Islands","2017/18",486
"159","Orkney Islands","2018/19",527
"160","Orkney Islands","2019/20",532
"161","Orkney Islands","2020/21",463
"162","Perth and Kinross","2014/15",2909
"163","Perth and Kinross","2015/16",3062
"164","Perth and Kinross","2016/17",3364
"165","Perth and Kinross","2017/18",3774
"166","Perth and Kinross","2018/19",3735
"167","Perth and Kinross","2019/20",4008
"168","Perth and Kinross","2020/21",3350
"169","Renfrewshire","2014/15",3541
"170","Renfrewshire","2015/16",3672
"171","Renfrewshire","2016/17",4267
"172","Renfrewshire","2017/18",4967
"173","Renfrewshire","2018/19",5070
"174","Renfrewshire","2019/20",5433
"175","Renfrewshire","2020/21",4454
"176","Scottish Borders","2014/15",2453
"177","Scottish Borders","2015/16",2626
"178","Scottish Borders","2016/17",2907
"179","Scottish Borders","2017/18",3211
"180","Scottish Borders","2018/19",3193
"181","Scottish Borders","2019/20",3458
"182","Scottish Borders","2020/21",2770
"183","Shetland Islands","2014/15",293
"184","Shetland Islands","2015/16",313
"185","Shetland Islands","2016/17",382
"186","Shetland Islands","2017/18",445
"187","Shetland Islands","2018/19",387
"188","Shetland Islands","2019/20",418
"189","Shetland Islands","2020/21",563
"190","South Ayrshire","2014/15",2742
"191","South Ayrshire","2015/16",2685
"192","South Ayrshire","2016/17",3111
"193","South Ayrshire","2017/18",3324
"194","South Ayrshire","2018/19",3416
"195","South Ayrshire","2019/20",3467
"196","South Ayrshire","2020/21",2789
"197","South Lanarkshire","2014/15",7773
"198","South Lanarkshire","2015/16",7704
"199","South Lanarkshire","2016/17",8591
"200","South Lanarkshire","2017/18",9518
"201","South Lanarkshire","2018/19",9291
"202","South Lanarkshire","2019/20",9839
"203","South Lanarkshire","2020/21",8274
"204","Stirling","2014/15",1864
"205","Stirling","2015/16",1797
"206","Stirling","2016/17",2017
"207","Stirling","2017/18",2198
"208","Stirling","2018/19",2165
"209","Stirling","2019/20",2418
"210","Stirling","2020/21",1981
"211","Total","2014/15",128263
"212","Total","2015/16",132119
"213","Total","2016/17",149008
"214","Total","2017/18",165386
"215","Total","2018/19",164742
"216","Total","2019/20",173851
"217","Total","2020/21",146076
"218","West Dunbartonshire","2014/15",2566
"219","West Dunbartonshire","2015/16",2559
"220","West Dunbartonshire","2016/17",2975
"221","West Dunbartonshire","2017/18",3485
"222","West Dunbartonshire","2018/19",3446
"223","West Dunbartonshire","2019/20",3565
"224","West Dunbartonshire","2020/21",2911
"225","West Lothian","2014/15",4642
"226","West Lothian","2015/16",4750
"227","West Lothian","2016/17",5377
"228","West Lothian","2017/18",5882
"229","West Lothian","2018/19",6118
"230","West Lothian","2019/20",6446
"231","West Lothian","2020/21",5450
