"","FinancialYear","CA","AllLiveBirths","AppropriateWeightCount","AppropriateWeightProportion"
"107","2011/12","S12000020",858,761,88.6946386946387
"108","2011/12","S12000021",1389,1227,88.3369330453564
"109","2011/12","S12000023",196,167,85.2040816326531
"110","2011/12","S12000026",978,880,89.9795501022495
"111","2011/12","S12000027",238,213,89.4957983193277
"112","2011/12","S12000028",995,888,89.2462311557789
"113","2011/12","S12000029",3289,2935,89.2368501064153
"114","2011/12","S12000030",819,723,88.2783882783883
"115","2011/12","S12000033",2676,2407,89.9476831091181
"116","2011/12","S12000034",2427,2192,90.3172641120725
"117","2011/12","S12000035",710,638,89.8591549295775
"118","2011/12","S12000036",5544,4976,89.7546897546897
"119","2011/12","S12000038",1836,1650,89.8692810457516
"120","2011/12","S12000039",1008,909,90.1785714285714
"121","2011/12","S12000040",1917,1728,90.1408450704225
"122","2011/12","S12000041",1149,1028,89.4691035683203
"123","2011/12","S12000042",1712,1523,88.9602803738318
"124","2011/12","S12000045",864,767,88.7731481481482
"125","2011/12","S12000047",4048,3584,88.5375494071146
"126","2011/12","S12000048",1391,1210,86.9877785765636
"127","2011/12","S12000049",7404,6618,89.3841166936791
"128","2011/12","S12000050",3765,3320,88.1806108897742
"129","2012/13","S12000005",577,503,87.1750433275563
"130","2012/13","S12000006",1299,1151,88.6066204772902
"131","2012/13","S12000008",1258,1117,88.79173290938
"132","2012/13","S12000010",926,829,89.524838012959
"133","2012/13","S12000011",738,657,89.0243902439024
"134","2012/13","S12000013",231,196,84.8484848484848
"135","2012/13","S12000014",1639,1469,89.6278218425869
"136","2012/13","S12000017",2240,2005,89.5089285714286
"137","2012/13","S12000018",750,676,90.1333333333333
"138","2012/13","S12000019",891,801,89.8989898989899
"139","2012/13","S12000020",871,798,91.6188289322618
"140","2012/13","S12000021",1277,1120,87.7055599060298
"141","2012/13","S12000023",193,166,86.0103626943005
"142","2012/13","S12000026",998,890,89.1783567134269
"143","2012/13","S12000027",276,243,88.0434782608696
"144","2012/13","S12000028",993,890,89.6273917421954
"145","2012/13","S12000029",3142,2798,89.0515595162317
"146","2012/13","S12000030",788,697,88.4517766497462
"147","2012/13","S12000033",2706,2431,89.8373983739837
"148","2012/13","S12000034",2488,2219,89.1881028938907
"149","2012/13","S12000035",639,567,88.7323943661972
"150","2012/13","S12000036",5382,4848,90.0780379041249
"151","2012/13","S12000038",1745,1559,89.3409742120344
"152","2012/13","S12000039",993,880,88.6203423967774
"153","2012/13","S12000040",1878,1681,89.5101171458999
"154","2012/13","S12000041",1099,975,88.7170154686078
"155","2012/13","S12000042",1648,1497,90.8373786407767
"156","2012/13","S12000045",876,788,89.9543378995434
"157","2012/13","S12000047",3791,3351,88.3935637035083
"158","2012/13","S12000048",1234,1116,90.4376012965964
"159","2012/13","S12000049",7379,6548,88.7383114243122
"160","2012/13","S12000050",3612,3228,89.3687707641196
"161","2013/14","S12000005",517,467,90.3288201160542
"162","2013/14","S12000006",1242,1128,90.8212560386473
"163","2013/14","S12000008",1239,1109,89.5076674737692
"164","2013/14","S12000010",895,809,90.391061452514
"165","2013/14","S12000011",877,761,86.7730900798176
"166","2013/14","S12000013",242,218,90.0826446280992
"167","2013/14","S12000014",1632,1458,89.3382352941177
"168","2013/14","S12000017",2174,1946,89.5124195032199
"169","2013/14","S12000018",723,671,92.8077455048409
"170","2013/14","S12000019",915,816,89.1803278688525
"171","2013/14","S12000020",897,805,89.7435897435898
"172","2013/14","S12000021",1240,1105,89.1129032258064
